"Report","url","pdfurl","Date","CountryCodeISO3"
"Country Focus","http://documents.worldbank.org/curated/en/2013/08/18114315/moldova-country-partnership-strategy-period-fy14-17","Moldova - Country partnership strategy for
            the period FY14-17","2013-09-09","MDA"
"Country Focus","http://documents.worldbank.org/curated/en/2010/12/13338763/montenegro-country-partnership-strategy-period-fy11-fy14","Montenegro - Country partnership strategy
            for the period FY11-FY14","2011-01-31","MNE"
"Country Focus","http://documents.worldbank.org/curated/en/2015/08/24969037/madagascar-systematic-country-diagnostic","Madagascar - Systematic country diagnostic","2015-08-27","MDG"
"Country Focus","http://documents.worldbank.org/curated/en/2013/02/17389687/marshall-islands-country-partnership-strategy-period-fy13-fy16","Marshall Islands - Country partnership
            strategy for the period FY13-FY16","2013-03-28","MHL"
"Country Focus","http://documents.worldbank.org/curated/en/2014/08/20165195/macedonia-former-yugoslav-republic-country-partnership-strategy-period-fy2015-18","Macedonia, former Yugoslav Republic of -
            Country partnership strategy for the period FY2015-18","2014-11-05","MKD"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25472288/mali-country-partnership-framework-period-fy16-19","Mali - Country partnership framework for the
            period FY16-19","2015-12-22","MLI"
"Country Focus","http://documents.worldbank.org/curated/en/2015/05/24299717/myanmar-country-partnership-framework-period-fy15-17","Myanmar - Country partnership framework for
            the period FY15-17","2015-05-12","MMR"
"Country Focus","http://documents.worldbank.org/curated/en/2012/01/16244913/mongolia-country-partnership-strategy-period-fy2013-2017","Mongolia - Country partnership strategy for
            the period FY2013-2017","2012-05-22","MNG"
"Country Focus","http://documents.worldbank.org/curated/en/2013/09/18267971/mauritania-country-partnership-strategy-period-fy2014-2016","Mauritania - Country partnership strategy
            for the period FY2014-2016","2014-02-25","MRT"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24741885/mauritius-systematic-country-diagnostic","Mauritius - Systematic Country Diagnostic","2015-07-01","MUS"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25715444/maldives-systematic-country-diagnostic-information-notice","Maldives - Systematic country diagnostic:
            Identifying Opportunities and Constraints to Ending Poverty
            and Promoting Shared Prosperity","2015-12-23","MDV"
"Country Focus","http://documents.worldbank.org/curated/en/2013/10/18531993/mexico-country-partnership-strategy-period-fy2014-2019","Mexico - Country partnership strategy for
            the period FY2014-2019","2013-12-13","MEX"
"Country Focus","http://documents.worldbank.org/curated/en/2012/02/15931993/mozambique-country-partnership-strategy-period-fy2012-fy2015","Mozambique - Country Partnership Strategy
            for the period FY2012 - FY2015","2012-04-10","MOZ"
