"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"COL",2013,"UNCTAD-SoP4",18256101.301,1552283594,"Item","Capital goods"
"COL",2014,"UNCTAD-SoP1",3343179.696,NA,"N.Q.","Raw materials"
"COL",2014,"UNCTAD-SoP2",16442621.501,NA,"N.Q.","Intermediate goods"
"COL",2014,"UNCTAD-SoP3",21965675.498,NA,"N.Q.","Consumer goods"
"COL",2014,"UNCTAD-SoP4",19324562.543,1601353050,"Item","Capital goods"
"COM",2013,"UNCTAD-SoP1",8980.624,2838,"Item","Raw materials"
"COM",2013,"UNCTAD-SoP2",28582.924,2067,"Area  SM","Intermediate goods"
"COM",2013,"UNCTAD-SoP3",48639.353,NA,"N.Q.","Consumer goods"
"COM",2013,"UNCTAD-SoP4",28536.507,NA,"N.Q.","Capital goods"
"CPV",2013,"UNCTAD-SoP1",70744.624,NA,"N.Q.","Raw materials"
"CPV",2013,"UNCTAD-SoP2",112218.713,NA,"N.Q.","Intermediate goods"
"CPV",2013,"UNCTAD-SoP3",435445.382,NA,"N.Q.","Consumer goods"
"CPV",2013,"UNCTAD-SoP4",102918.469,NA,"N.Q.","Capital goods"
"CPV",2014,"UNCTAD-SoP1",66958.951,NA,"N.Q.","Raw materials"
"CPV",2014,"UNCTAD-SoP2",123320.408,NA,"N.Q.","Intermediate goods"
"CPV",2014,"UNCTAD-SoP3",410656.971,NA,"N.Q.","Consumer goods"
"CPV",2014,"UNCTAD-SoP4",162047.25,NA,"N.Q.","Capital goods"
"CRI",2013,"UNCTAD-SoP1",878650.107,NA,"N.Q.","Raw materials"
"CRI",2013,"UNCTAD-SoP2",3522556.844,NA,"N.Q.","Intermediate goods"
"CRI",2013,"UNCTAD-SoP3",7552507.47,NA,"N.Q.","Consumer goods"
"CRI",2013,"UNCTAD-SoP4",5964740.762,NA,"N.Q.","Capital goods"
"CYP",2013,"UNCTAD-SoP1",380304.589,NA,"N.Q.","Raw materials"
"CYP",2013,"UNCTAD-SoP2",830536.022,NA,"N.Q.","Intermediate goods"
"CYP",2013,"UNCTAD-SoP3",4441356.348,NA,"N.Q.","Consumer goods"
"CYP",2013,"UNCTAD-SoP4",712147.087,NA,"N.Q.","Capital goods"
"CYP",2014,"UNCTAD-SoP1",409371.6,NA,"N.Q.","Raw materials"
"CYP",2014,"UNCTAD-SoP2",795791.549,NA,"N.Q.","Intermediate goods"
"CYP",2014,"UNCTAD-SoP3",4736877.062,NA,"N.Q.","Consumer goods"
"CYP",2014,"UNCTAD-SoP4",825027.026,NA,"N.Q.","Capital goods"
"CZE",2013,"UNCTAD-SoP1",11854539.534,NA,"N.Q.","Raw materials"
"CZE",2013,"UNCTAD-SoP2",30320642.556,NA,"N.Q.","Intermediate goods"
"CZE",2013,"UNCTAD-SoP3",44462546.201,NA,"N.Q.","Consumer goods"
"CZE",2013,"UNCTAD-SoP4",54323551.007,NA,"N.Q.","Capital goods"
"CZE",2014,"UNCTAD-SoP1",12086621.456,NA,"N.Q.","Raw materials"
"CZE",2014,"UNCTAD-SoP2",31496497.851,NA,"N.Q.","Intermediate goods"
"CZE",2014,"UNCTAD-SoP3",46891734.186,NA,"N.Q.","Consumer goods"
"CZE",2014,"UNCTAD-SoP4",61046482.447,NA,"N.Q.","Capital goods"
"DEU",2013,"UNCTAD-SoP1",153506668.778,NA,"N.Q.","Raw materials"
"DEU",2013,"UNCTAD-SoP2",241680268.838,NA,"N.Q.","Intermediate goods"
"DEU",2013,"UNCTAD-SoP3",393468935.343,NA,"N.Q.","Consumer goods"
"DEU",2013,"UNCTAD-SoP4",332448250.143,NA,"N.Q.","Capital goods"
"DEU",2014,"UNCTAD-SoP1",145510687.334,NA,"N.Q.","Raw materials"
